Variety,Quantity,Usage,Period
Kandula,3654,Bakery industry- Banana breads and banana cakes,November-January
Kandula,4405,Banana candies,January-December
Ambul Nadee,4559,dehydrated banana chips,January-December
Ambul Kesel,3887,Brewing and distilling industry- Make banana beer,January-December
Seeni Parakum,55,Make breakfast cereals,November-January
Kandula,1367,"Beverage industry - To make milkshakes,smoothies, fruit juices",January-December
Rath Kesel,4201,Make bioplastics,November-January
Kandula,4899,"Traditional alcoholic beverages- Banana liqueurs, wine",November-January
Suwandal,625,Make jam and sugary products to the local market,January-December
Ambul Kesel,3473,Make jam and sugary products to the local market,January-December
Rath Kesel,3695,Export to USA as fresh banana,January-December
Sini Kesel,2376,Make innorganic fertilizers,November-January
Nethra Palam,3900,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,January-December
Puwalu,3283,Make innorganic fertilizers,November-January
Kandula,2638,Give CBL to make Waffers Biscuits,November-January
Kolikuttu,1582,Give CBL to make Waffers Biscuits,November-January
Sini Kesel,4060,"Traditional alcoholic beverages- Banana liqueurs, wine",January-December
Kolikuttu,3696,Food industry-desserts varieties,November-January
Puwalu,4188,Make tea bags and filters,November-January
Suwandal,371,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",November-January
Puwalu,1838,Make tea bags and filters,November-January
Kandula,3010,Make single use plastic alternatives,January-December
Rath Kesel,1478,Make organic fertilizers,January-December
Kolikuttu,3933,cosmetic industry- Make haircare treatments with banana extracts,November-January
Rath Kesel,2713,Make tea bags and filters,January-December
Seeni Parakum,3241,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,November-January
Seeni Parakum,2992,make dried and powdered banana peels to use as a supplement in animal feed.,January-December
Suwandal,3990,Food industry-desserts varieties,January-December
Ambul Kesel,4307,dehydrated banana chips,November-January
Suwandal,233,Make jam and sugary products to the local market,November-January
Puwalu,3364,Food industry-desserts varieties,January-December
Ambul Nadee,1200,Banana flavored craft beers,November-January
Sini Kesel,1735,Make organic fertilizers,January-December
Rath Kesel,327,Brewing and distilling industry- Make banana beer,November-January
Ambum,3295,Make organic fertilizers,November-January
Seeni Parakum,1860,"Traditional alcoholic beverages- Banana liqueurs, wine",November-January
Ambul Nadee,3562,Food industry-desserts varieties,November-January
Kandula,1202,Make innorganic fertilizers,January-December
Ambum,4425,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",January-December
Puwalu,3238,Banana flavored craft beers,November-January
Kandula,2751,Make breakfast cereals,January-December
Ambul Nadee,4002,Textile industry- make banana fibers,January-December
Ambum,3498,Make natural remedies,January-December
Puwalu,4503,Textile industry- make banana fibers,November-January
Nethra Palam,2577,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,January-December
Anamalu,3605,Food industry-desserts varieties,November-January
Sini Kesel,2585,cosmetic industry- Make haircare treatments with banana extracts,November-January
Suwandal,2552,Make single use plastic alternatives,January-December
Green Banana,1369,Brewing and distilling industry- Make banana beer,November-January
Anamalu,2417,Food industry-desserts varieties,January-December
Seeni Parakum,258,Make tea bags and filters,January-December
Seeni Parakum,297,cosmetic industry- Make haircare treatments with banana extracts,January-December
Kandula,1911,Bakery industry- Banana breads and banana cakes,January-December
Seeni Parakum,3008,dehydrated banana chips,November-January
Puwalu,2477,make dried and powdered banana peels to use as a supplement in animal feed.,November-January
Suwandal,632,Banana chips ( both sweetened and unsweetened),January-December
Seeni Parakum,301,"Skincare industry- Make skincare products ( Lotions, creams and face masks",November-January
Green Banana,1010,dehydrated banana chips,November-January
Seeni Parakum,720,Textile industry- make banana fibers,November-January
Ambul Nadee,911,Make innorganic fertilizers,November-January
Ambul Kesel,2333,Banana chips ( both sweetened and unsweetened),November-January
Ambul Kesel,3410,Export to USA as fresh banana,November-January
Anamalu,4470,Banana flavored craft beers,November-January
Ambum,482,Make banana oils are used in cosmatic industry,November-January
Kandula,75,cosmetic industry- Make haircare treatments with banana extracts,January-December
Nethra Palam,232,Textile industry- make banana fibers,January-December
Ambul Kesel,1106,Give CBL to make Waffers Biscuits,November-January
Kolikuttu,4265,cosmetic industry- Make haircare treatments with banana extracts,January-December
Nethra Palam,4683,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,January-December
Kolikuttu,3152,Make organic fertilizers,November-January
Green Banana,3854,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,November-January
Kandula,3691,make banana silk which is eco friendly and biodegradable,January-December
Rath Kesel,4431,Make natural remedies,January-December
Green Banana,1448,Banana flavored craft beers,November-January
Nethra Palam,1478,Brewing and distilling industry- Make banana beer,January-December
Nethra Palam,2803,make dried and powdered banana peels to use as a supplement in animal feed.,January-December
Rath Kesel,1258,"Beverage industry - To make milkshakes,smoothies, fruit juices",November-January
Seeni Parakum,3482,Make innorganic fertilizers,January-December
Kandula,540,Bakery industry- Banana breads and banana cakes,November-January
Nethra Palam,2028,Make banana oils are used in cosmatic industry,January-December
Suwandal,329,Make innorganic fertilizers,January-December
Nethra Palam,4141,Banana chocolates and sweets,November-January
Seeni Parakum,2489,Make banana oils are used in cosmatic industry,November-January
Rath Kesel,1598,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",November-January
Suwandal,2507,Export to USA as fresh banana,November-January
Kandula,3073,Make single use plastic alternatives,November-January
Seeni Parakum,3336,Banana flavored craft beers,November-January
Ambul Nadee,3159,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",November-January
Ambul Nadee,281,Give CBL to make Waffers Biscuits,November-January
Kandula,1432,"Beverage industry - To make milkshakes,smoothies, fruit juices",January-December
Ambul Kesel,131,Make organic fertilizers,January-December
Kolikuttu,1516,Give CBL to make Waffers Biscuits,November-January
Anamalu,1427,make dried and powdered banana peels to use as a supplement in animal feed.,November-January
Seeni Parakum,2346,Textile industry- make banana fibers,November-January
Green Banana,387,dehydrated banana chips,November-January
Suwandal,4693,Food industry-desserts varieties,November-January
Sini Kesel,2269,Food industry-desserts varieties,January-December
Rath Kesel,2916,Export to USA as fresh banana,January-December
Anamalu,677,make dried and powdered banana peels to use as a supplement in animal feed.,January-December
Rath Kesel,2519,Export to USA as fresh banana,November-January
Puwalu,1661,Make jam and sugary products to the local market,January-December
Rath Kesel,2412,"Beverage industry - To make milkshakes,smoothies, fruit juices",November-January
Ambul Nadee,910,make dried and powdered banana peels to use as a supplement in animal feed.,January-December
Rath Kesel,1863,Make tea bags and filters,November-January
Rath Kesel,2607,Make single use plastic alternatives,January-December
Nethra Palam,574,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",November-January
Green Banana,2434,Make natural remedies,November-January
Kandula,4159,Export to USA as fresh banana,November-January
Green Banana,4073,Brewing and distilling industry- Make banana beer,November-January
Suwandal,3141,Make single use plastic alternatives,January-December
Ambul Nadee,871,"Beverage industry - To make milkshakes,smoothies, fruit juices",November-January
Ambul Nadee,3931,Banana candies,November-January
Green Banana,1574,Banana chocolates and sweets,November-January
Suwandal,490,Banana chips ( both sweetened and unsweetened),January-December
Ambul Kesel,3340,Banana chocolates and sweets,January-December
Ambul Kesel,1012,dehydrated banana chips,November-January
Sini Kesel,1528,Make banana oils are used in cosmatic industry,January-December
Green Banana,3922,cosmetic industry- Make haircare treatments with banana extracts,January-December
Sini Kesel,3259,"Beverage industry - To make milkshakes,smoothies, fruit juices",January-December
Suwandal,1454,Make single use plastic alternatives,November-January
Seeni Parakum,3318,Banana chocolates and sweets,January-December
Puwalu,2253,Textile industry- make banana fibers,November-January
Suwandal,2073,"Beverage industry - To make milkshakes,smoothies, fruit juices",January-December
Ambul Kesel,659,Make organic fertilizers,January-December
Ambul Nadee,4691,Food industry-desserts varieties,November-January
Rath Kesel,1120,make dried and powdered banana peels to use as a supplement in animal feed.,November-January
Ambul Kesel,1541,Make natural remedies,November-January
Rath Kesel,1349,Brewing and distilling industry- Make banana beer,January-December
Puwalu,3274,Make tea bags and filters,November-January
Ambum,3210,Banana chips ( both sweetened and unsweetened),January-December
Rath Kesel,946,Make innorganic fertilizers,November-January
Seeni Parakum,4745,Banana candies,January-December
Nethra Palam,3926,"Beverage industry - To make milkshakes,smoothies, fruit juices",November-January
Ambum,2008,Textile industry- make banana fibers,November-January
Nethra Palam,1564,dehydrated banana chips,November-January
Ambul Kesel,3309,dehydrated banana chips,January-December
Ambul Nadee,3578,Food industry-desserts varieties,November-January
Sini Kesel,2166,Banana chocolates and sweets,November-January
Green Banana,1718,make banana silk which is eco friendly and biodegradable,January-December
Nethra Palam,1553,Make bioplastics,January-December
